"RepoName","Description","Language","SizeKB","License","Stars","OpenIssues","Technologies","Dependencies","Secrets","TodoCount","LastPhase"
"starko-rpi5-ai-workspace","","Shell","259","","0","1","Python;Python (scripts);Shell","    ;        ;            ;                            'name': script[:-3],  # Remove .py extension;                            'path': os.path.join(category_dir, script);                        'name': profile,;                        'path': os.path.join(profiles_dir, profile);                        });                        scripts[category].append({;                    'auto_start': False,;                    'cores': psutil.cpu_count(logical=False),;                    'created_at': datetime.now().isoformat();                    'free': round(disk.free / (1024**3), 2),;                    'free': round(memory.free / (1024**3), 2),;                    'frequency': cpu_info.get('hz_actual', 'Unknown');                    'host': '0.0.0.0';                    'load': gpu.load * 100,;                    'memory_free': gpu.memoryFree;                    'memory_total': gpu.memoryTotal,;                    'memory_used': gpu.memoryUsed,;                    'name': cpu_info.get('brand_raw', 'Unknown'),;                    'name': gpu.name,;                    'percent': disk.percent;                    'percent': memory.percent;                    'port': 8080,;                    'profiles': [],;                    'python_version': cpu_info.get('python_version', 'Unknown');                    'system_info': {},;                    'system': cpu_info.get('arch', 'Unknown'),;                    'theme': 'dark',;                    'threads': psutil.cpu_count(logical=True),;                    'total': round(disk.total / (1024**3), 2),;                    'total': round(memory.total / (1024**3), 2),;                    'usage': cpu_usage,;                    'used': round(disk.used / (1024**3), 2),;                    'used': round(memory.used / (1024**3), 2),;                    });                    if script.endswith('.py'):;                    profiles.append({;                'cpu': {;                'disk': {;                'gpu': [],;                'memory': {;                'platform': {;                };                },;                }, f, indent=2);                });                for script in os.listdir(category_dir):;                gpus = GPUtil.getGPUs();                if os.path.isdir(os.path.join(profiles_dir, profile)):;                json.dump({;                pass;                system_data['gpu'].append({;            'message': f'Profile {profile_name} started',;            'profile': profile_name;            'status': 'success',;            };            # Add GPU info;            # CPU Info;            # Disk Info;            # GPU Info (if available);            # Memory Info;            category_dir = f'scripts/{category}';            cpu_info = cpuinfo.get_cpu_info();            cpu_usage = psutil.cpu_percent(interval=1);            disk = psutil.disk_usage('/');            except:;            for gpu in gpus:;            for profile in os.listdir(profiles_dir):;            gpus = [];            if os.path.exists(category_dir):;            memory = psutil.virtual_memory();            return jsonify({'error': str(e)}), 500;            return jsonify(system_data);            scripts[category] = [];            system_data = {;            try:;            with open(config_file, 'w') as f:;            with open(db_file, 'w') as f:;        """"""Get available profiles"""""";        """"""Get available scripts"""""";        """"""Get system information"""""";        """"""Initialize database and required files"""""";        """"""Start a specific profile"""""";        });        # Create basic database file;        # Create default config;        # This would contain logic to start different profiles;        config_file = os.path.join(database_dir, 'config.json');        database_dir = 'database';        db_file = os.path.join(database_dir, 'workspace.db');        except Exception as e:;        for category in script_categories:;        if not os.path.exists(config_file):;        if not os.path.exists(db_file):;        if os.path.exists(profiles_dir):;        os.makedirs(database_dir, exist_ok=True);        print(""✅ Database initialized"");        profiles = [];        profiles_dir = 'profiles';        return jsonify({;        return jsonify({'status': 'healthy', 'timestamp': datetime.now().isoformat()});        return jsonify(profiles);        return jsonify(scripts);        return render_template('index.html');        script_categories = ['system', 'security', 'automation', 'development'];        scripts = {};        try:;    @app.route('/');    @app.route('/api/profiles');    @app.route('/api/scripts');    @app.route('/api/start-profile/<profile_name>');    @app.route('/api/system-info');    @app.route('/health');    # Database initialization;    # Routes;    app = Flask(__name__);    app.config['SECRET_KEY'] = 'starko-ai-workspace-secret-key';    def get_profiles():;    def get_scripts():;    def health():;    def index():;    def init_db():;    def start_profile(profile_name):;    def system_info():;    from waitress import serve;    init_db();    print(""🌐 Server running on http://127.0.0.1:8080"");    print(""🚀 Starting Starko AI Workspace..."");    return app, init_db;    serve(app, host='0.0.0.0', port=8080, threads=6);app, init_db = create_app();def create_app():;from datetime import datetime;from flask import Flask, render_template, jsonify, request;if __name__ ;import cpuinfo;import GPUtil;import json;import os;import psutil","","4","activity"
"ultra","","Shell","211","","0","0","Shell","","","0","activity"
"starko-universal-pentest","","","","","0","0","","","","0","activity"
"Acode_Dev_Master","","Shell","142","","1","0","Shell","","","32","activity"
"starcore-installer","","Shell","1","","0","0","PowerShell;Shell","","","0","activity"
"digital-clock-timezones","Digital Clock displaying current time in multiple timezones with web UI and API","","","","0","0","","","","0","activity"
"md-installer","","Shell","154","","0","0","PowerShell;Shell","","","9","activity"
"tsx","⚡️ TypeScript Execute | The easiest way to run TypeScript in Node.js","","2334","MIT","0","0","Node.js","@ampproject/remapping;@types/cross-spawn;@types/node;@types/split2;append-transform;cachedir;clean-pkg-json;cleye;cross-spawn;es-module-lexer;esbuild;execa;fs-fixture;fs-require;get-node;get-tsconfig;chokidar;kolorist;lintroll;magic-string;manten;memfs;outdent;pkgroll;proxyquire;pty-spawn;strip-ansi;type-fest;type-flag;typescript","","0","activity"
"rpi5-starkhost","","Shell","5","","0","0","Shell","","","0","activity"
"rpi-nymea","","Shell","79","","0","0","Python (scripts)","","","0","activity"
